"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GS9XP48C","webpage","2023","Kanakulya, Dickson; Sondarjee, Maïka","How white saviourism harms international development","The Conversation","","","","http://theconversation.com/how-white-saviourism-harms-international-development-199392","White saviourism is simultaneously a state of mind and a concrete unequal power structure between the Global North and the Global South.","2023-02-26","2023-11-01 14:48:14","2023-11-01T14:48:14Z","2023-03-22 08:56:14","","","","","","","","","","","","","","en","","","","","","","RELATES_TO: ITZYN6BD | EJ9M4T4T","","","","ACCESS: Open Access; BASIC RESOURCE; CO-DESIGN LEVEL: 3; PROJECT STEP: Design; PROJECT STEP: Implementation; PROJECT STEP: M&E; PROJECT STEP: Needs Assessment; PROJECT STEP: Stakeholder Mapping; THEME: Decolonisation; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YSIILPT8","report","2021","Metcalfe-Hough, Victoria; Fenton, Wendy; Willitts-King, Barnaby; Spencer, Alexandra","The Grand Bargain at five years: An independent review (Executive Summary)","","","","","https://odi.org/en/publications/the-grand-bargain-at-five-years-an-independent-review/","","2021","2023-11-01 14:47:25","2023-11-01T14:47:25Z","","","","","","","","","","","","","HPG commissioned report. London: ODI","","","","","","","","","RELATES_TO: WQAU7VI5","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Implementation; THEME: Localisation; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMJNR4ZU","blogPost","2021","Romain Murphy, Marie-Rose","“What if?” Questions with answers for a paradigm shift in the Aid System","CDA Collaborative","","","","https://www.cdacollaborative.org/blog/what-if-questions-with-answers-for-a-paradigm-shift-in-the-aid-system/","In our first blog for 2021, Marie-Rose Romain Murphy highlights key obstacles and factors impacting the Aid sector. She stresses the critical need for Aid to fundamentally shift its value system to center the realities of affected communities, be based on inclusive mapping, and be guided by local leaders and organizations.","2021-02-18","2023-10-18 09:19:45","2023-10-18T09:19:45Z","2023-03-22 11:46:36","","","","","","","“What if?","","","","","","","en-US","","","","","","","RELATES_TO: J4XJ9K9D","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Design; THEME: Systems Approaches to Energy Access; USEFUL FOR: Community; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RAQMQLC","report","2013","Bloom, Louise; Betts, Alexander","The two worlds of humanitarian innovation","","","","","https://www.unhcr.org/innovation/wp-content/uploads/2017/10/wp94-two-worlds-humanitarian-innovation-2013.pdf","","2013","2023-10-18 09:19:39","2023-10-18T09:19:39Z","","","","","","","","","","","","","Refugee Studies Centre, University of Oxford","","en","","Working Paper Series no.94","","","Zotero","","RELATES_TO: D2XXRWN9","","","","CO-DESIGN LEVEL: 3; PROJECT STEP: Implementation; PROJECT STEP: M&E; THEME: Decolonisation; THEME: Systems Approaches to Energy Access; USEFUL FOR: Community; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VAZU3WY","report","2020","Groen, Karlijn","Promoting Market Based Energy Access for Cooking and Lighting in Kakuma Refugee: Camp Experiences and lessons learned","","","","","https://endev.info/wp-content/uploads/2021/01/Lessons-learned-from-promting-energy-access-for-cooking-and-lighting-in-Kakuma-refugee-camp.pdf","","2020-07","2023-10-18 09:19:35","2023-10-18T09:19:35Z","","","","","","","","","","","","","","","","","","","","","","RELATES_TO: SFLF7U5U","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: Implementation; THEME: Systems Approaches to Energy Access; USEFUL FOR: NGO/Other; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EPLF2JZ","report","2019","Cohen, Yaron; Patel, Laura","Innovative Financing  for Humanitarian Energy  Interventions","","","","","https://www.chathamhouse.org/sites/default/files/2019-02-2019-InnovativeFinancingforHumanitarianEnergy.pdf","","2019-02","2023-10-18 09:19:30","2023-10-18T09:19:30Z","","","","","","","","","","","","","","","","","","","","","","RELATES_TO: SJCPY9X3","","","","ACCESS: Open Access; BASIC RESOURCE; CO-DESIGN LEVEL: 2; PROJECT STEP: Implementation; THEME: Systems Approaches to Energy Access; USEFUL FOR: NGO/Other; USEFUL FOR: Policy/Governments; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2XXRWN9","webpage","2023","Robinson, Benjamin","Informal Approaches for Humanitarian Innovators","Humanitarian Innovation Support Library","","","","https://hisl.miraheze.org/wiki/Informal_Approaches",".","2023-04-05","2023-10-18 09:19:27","2023-10-18T09:19:27Z","2023-06-08 14:21:43","","","","","","","","","","","","","","en-GB","","","","","","","REALTES_TO: 8RAQMQLC | SFLF7U5U","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 3; PROJECT STEP: Implementation; PROJECT STEP: M&E; THEME: Systems Approaches to Energy Access; USEFUL FOR: NGO/Other; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJCPY9X3","journalArticle","2021","Bisaga, Iwona; To, Long Seng","Funding and Delivery Models for Modern Energy Cooking Services in Displacement Settings: A Review","Energies","","1996-1073","10.3390/en14144176","https://www.mdpi.com/1996-1073/14/14/4176","Cooking with modern energy fuels and technologies has a high potential to positively impact the users’ health and well-being, and make cooking safer and less burdensome for women and girls. To date, there have been numerous interventions targeting improved cooking solutions in displacement settings, but very few which have involved modern energy cooking, such as ethanol, biogas, LPG or electric cooking. They have been largely absent from humanitarian programming due to limited availability, affordability and lack of business models that suit those complex settings. Additionally, energy access services in displacement settings have historically relied primarily on grant-based funding. However, grants are limited to relatively short timeframes which do not align with the long-term needs of the displaced. New ways of funding energy access in displacement settings, and particularly modern energy cooking services, are urgently needed to address the scale of the challenge as the number of displaced surpassed 80 million in 2020, with close to 90% having little or no access to adequate cooking fuels and technologies. In this paper, we review modern energy cooking in displacement settings and the common ways of funding and delivering them. We argue that new ways of funding and delivering energy access in displacement settings are urgently needed to address the scale of the challenge and to facilitate transitions to modern energy cooking fuels and technologies, in line with Sustainable Development Goal 7 and the principle of ‘leaving no one behind’.","2021-07-10","2023-10-18 09:19:23","2023-10-18T09:19:23Z","2023-04-26 05:47:39","4176","","14","14","","Energies","Funding and Delivery Models for Modern Energy Cooking Services in Displacement Settings","","","","","","","en","","","","","DOI.org (Crossref)","","RELATES_TO: 3EPLF2JZ","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: Implementation; THEME: Systems Approaches to Energy Access; USEFUL FOR: NGO/Other; USEFUL FOR: Private Sector","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7797LTZ","report","2018","Humanitarian Innovation Fund (Elrha)","Too tough to scale? Challenges to scaling innovation in the humanitarian sector","","","","","http://www.elrha.org/wp-content/uploads/2018/10/Elrha-TTTS-A4-FINAL.pdf","Methodology 11 Defining scale and pathways to impact 12 PART 1. SCALE IN THE HUMANITARIAN SECTOR 1.1 Barriers to scale are dampening the effects of increased 15 investment in innovation 1.2 Humanitarian actors who support scale 18 1.3 How Elrha supports scale 19 PART 2. FIVE CHALLENGES TO SCALING HUMANITARIAN INNOVATIONS Introduction to five challenges 23 Challenge 1: Too few humanitarian innovations are geared to scale 25 Challenge 2: The humanitarian sector has insufficient embedded 32 knowledge and skills for supporting innovations to scale Challenge 3: There is a lack of appropriate and adequate funding for 36 scaling innovation in the sector Challenge 4: There is insufficient evidence of the impact of 42 humanitarian innovations Challenge 5: The humanitarian ecosystem significantly frustrates 47 efforts to scale humanitarian innovation PART 3. CONCLUSIONS AND GLOBAL CALLS TO ACTION Conclusions and calls to action","2018","2023-10-18 09:19:03","2023-10-18T09:19:03Z","","","","","","","","","","","","","Elrha","London","en","","","","","Zotero","","RELATES_TO: 4DZXLISG","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 2; PROJECT STEP: Design; PROJECT STEP: Implementation; PROJECT STEP: M&E; THEME: Scale & Replicability; USEFUL FOR: NGO/Other; USEFUL FOR: Private Sector; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44353P8Q","journalArticle","2017","Hystra Consulting","Reaching Scale in Access to Energy: Lessons from Practitioners","","","","","https://www.adb.org/sites/default/files/publication/372436/access-energy-lessons.pdf","","2017","2023-10-18 09:18:59","2023-10-18T09:18:59Z","","","","","","","","","","","","","","","en","","","","","Zotero","","RELATES_TO: 4DZXLISG","","","","ACCESS: Open Access; CO-DESIGN LEVEL: 1; PROJECT STEP: Design; THEME: Scale & Replicability; USEFUL FOR: NGO/Other; USEFUL FOR: UN/INGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
